dateStart,title,latitude,longitude,description
2019-12-03 10:00:00 UTC,ASSAULT,41.759386759,-87.669137056,SIMPLE
2019-12-03 10:25:00 UTC,ASSAULT,41.881833204,-87.643028117,SIMPLE
2019-12-03 10:43:00 UTC,ASSAULT,41.841498227,-87.718378822,SIMPLE
2019-12-03 11:00:00 UTC,ASSAULT,41.677661758,-87.652872258,SIMPLE
2019-12-03 12:10:00 UTC,ASSAULT,41.800043514,-87.728259538,PRO EMP HANDS NO/MIN INJURY
2019-12-03 13:03:00 UTC,ASSAULT,41.754168689,-87.601635756,AGG PO HANDS NO/MIN INJURY
2019-12-03 13:30:00 UTC,ASSAULT,41.693466198,-87.643632627,SIMPLE
2019-12-03 14:24:00 UTC,ASSAULT,41.752297175,-87.600359675,SIMPLE
2019-12-03 14:30:00 UTC,ASSAULT,41.94020619,-87.782201754,SIMPLE
2019-12-03 14:36:00 UTC,ASSAULT,41.918894265,-87.735001129,SIMPLE
2019-12-03 14:50:00 UTC,ASSAULT,41.779234743,-87.685207125,SIMPLE
2019-12-03 15:30:00 UTC,ASSAULT,41.8634377,-87.723873589,SIMPLE
2019-12-03 15:44:00 UTC,ASSAULT,41.881524451,-87.662706932,SIMPLE
2019-12-03 16:00:00 UTC,ASSAULT,41.788835632,-87.645786841,SIMPLE
2019-12-03 16:00:00 UTC,ASSAULT,41.795622257,-87.61924769,SIMPLE
2019-12-03 17:30:00 UTC,ASSAULT,41.877566857,-87.684614749,SIMPLE
2019-12-03 17:30:00 UTC,ASSAULT,41.777991937,-87.706538949,SIMPLE
2019-12-03 17:59:00 UTC,ASSAULT,41.866658243,-87.725197721,SIMPLE
2019-12-03 18:00:00 UTC,ASSAULT,41.854843535,-87.711236387,SIMPLE
2019-12-03 18:10:00 UTC,ASSAULT,41.759873977,-87.556474087,PRO EMP HANDS NO/MIN INJURY
2019-12-03 18:27:00 UTC,ASSAULT,41.765444001,-87.626906181,SIMPLE
2019-12-03 19:00:00 UTC,ASSAULT,41.651431329,-87.527258234,SIMPLE
2019-12-03 19:40:00 UTC,ASSAULT,41.982462111,-87.656584197,SIMPLE
2019-12-03 19:49:00 UTC,ASSAULT,41.718682359,-87.567570758,SIMPLE
2019-12-03 20:10:00 UTC,ASSAULT,41.887711996,-87.617139647,SIMPLE
2019-12-03 20:15:00 UTC,ASSAULT,41.909478937,-87.757572596,AGG PO HANDS NO/MIN INJURY
2019-12-03 21:00:00 UTC,ASSAULT,41.805993183,-87.664900005,SIMPLE
2019-12-03 21:15:00 UTC,ASSAULT,41.929580262,-87.756991303,SIMPLE
2019-12-03 22:45:00 UTC,ASSAULT,41.734724236,-87.6114483,SIMPLE
2019-12-03 23:30:00 UTC,ASSAULT,41.789624447,-87.6547587,SIMPLE
2019-12-04 00:09:00 UTC,ASSAULT,41.983467597,-87.769540511,SIMPLE
2019-12-04 00:30:00 UTC,ASSAULT,41.794533814,-87.631438536,PRO EMP HANDS NO/MIN INJURY
