dateStart,title,latitude,longitude,description
2019-12-01 15:25:00 UTC,BATTERY,41.748110182,-87.636660736,DOMESTIC BATTERY SIMPLE
2019-12-01 15:59:00 UTC,BATTERY,42.011592495,-87.664212481,DOMESTIC BATTERY SIMPLE
2019-12-01 16:00:00 UTC,BATTERY,41.898119097,-87.717622858,SIMPLE
2019-12-01 16:00:00 UTC,BATTERY,41.919520368,-87.760921537,SIMPLE
2019-12-01 16:30:00 UTC,BATTERY,41.810952834,-87.727368232,DOMESTIC BATTERY SIMPLE
2019-12-01 16:32:00 UTC,BATTERY,41.886755667,-87.765095923,SIMPLE
2019-12-01 16:35:00 UTC,BATTERY,41.801197655,-87.622629646,SIMPLE
2019-12-01 16:45:00 UTC,BATTERY,41.736263109,-87.627237046,SIMPLE
2019-12-01 16:47:00 UTC,BATTERY,41.742710224,-87.634088181,DOMESTIC BATTERY SIMPLE
2019-12-01 17:00:00 UTC,BATTERY,41.769881015,-87.568949004,DOMESTIC BATTERY SIMPLE
2019-12-01 17:00:00 UTC,BATTERY,41.804230399,-87.721871255,DOMESTIC BATTERY SIMPLE
2019-12-01 17:00:00 UTC,BATTERY,41.889031822,-87.721011802,DOMESTIC BATTERY SIMPLE
2019-12-01 17:30:00 UTC,BATTERY,41.97008868,-87.762690091,SIMPLE
2019-12-01 17:45:00 UTC,BATTERY,41.807978093,-87.644137017,SIMPLE
2019-12-01 17:47:00 UTC,BATTERY,41.894268798,-87.708958726,DOMESTIC BATTERY SIMPLE
2019-12-01 17:48:00 UTC,BATTERY,41.936304603,-87.730986684,DOMESTIC BATTERY SIMPLE
2019-12-01 18:00:00 UTC,BATTERY,41.704059354,-87.565733832,DOMESTIC BATTERY SIMPLE
2019-12-01 18:00:00 UTC,BATTERY,41.73579602,-87.632525441,SIMPLE
2019-12-01 18:08:00 UTC,BATTERY,41.721637927,-87.6302507,SIMPLE
2019-12-01 18:11:00 UTC,BATTERY,41.792903558,-87.699877235,DOMESTIC BATTERY SIMPLE
2019-12-01 18:30:00 UTC,BATTERY,41.782240073,-87.622175395,SIMPLE
2019-12-01 18:30:00 UTC,BATTERY,41.682255556,-87.654225954,DOMESTIC BATTERY SIMPLE
2019-12-01 18:35:00 UTC,BATTERY,41.761573042,-87.558150634,SIMPLE
2019-12-01 18:40:00 UTC,BATTERY,41.658498248,-87.54589923,DOMESTIC BATTERY SIMPLE
2019-12-01 19:02:00 UTC,BATTERY,41.842819167,-87.646398276,DOMESTIC BATTERY SIMPLE
2019-12-01 19:19:00 UTC,BATTERY,41.698435535,-87.563167931,SIMPLE
2019-12-01 19:51:00 UTC,BATTERY,41.768182768,-87.628239774,DOMESTIC BATTERY SIMPLE
2019-12-01 20:15:00 UTC,BATTERY,41.751369466,-87.66467543,DOMESTIC BATTERY SIMPLE
2019-12-01 20:17:00 UTC,BATTERY,41.68421548,-87.66037035,DOMESTIC BATTERY SIMPLE
2019-12-01 20:23:00 UTC,BATTERY,41.739975185,-87.574561736,DOMESTIC BATTERY SIMPLE
2019-12-01 20:42:00 UTC,BATTERY,41.858000042,-87.65325445,SIMPLE
2019-12-01 21:00:00 UTC,BATTERY,41.776226663,-87.699410789,SIMPLE
2019-12-01 21:00:00 UTC,BATTERY,41.925684458,-87.773838171,DOMESTIC BATTERY SIMPLE
2019-12-01 21:10:00 UTC,BATTERY,41.673466091,-87.626122921,DOMESTIC BATTERY SIMPLE
2019-12-01 21:40:00 UTC,BATTERY,41.743986926,-87.669347095,DOMESTIC BATTERY SIMPLE
2019-12-01 21:59:00 UTC,BATTERY,41.922978611,-87.694425313,SIMPLE
2019-12-01 22:00:00 UTC,BATTERY,42.00180847,-87.660753652,SIMPLE
2019-12-01 22:02:00 UTC,BATTERY,41.732906045,-87.610779885,DOMESTIC BATTERY SIMPLE
2019-12-01 22:10:00 UTC,BATTERY,41.790045959,-87.646261611,DOMESTIC BATTERY SIMPLE
2019-12-01 22:21:00 UTC,BATTERY,41.865453392,-87.719500335,DOMESTIC BATTERY SIMPLE
2019-12-01 22:34:00 UTC,BATTERY,41.729546145,-87.629655248,DOMESTIC BATTERY SIMPLE
2019-12-01 22:35:00 UTC,BATTERY,42.010373616,-87.664133266,DOMESTIC BATTERY SIMPLE
2019-12-01 22:47:00 UTC,BATTERY,41.956642657,-87.649761829,SIMPLE
2019-12-01 23:00:00 UTC,BATTERY,41.784405684,-87.655836719,DOMESTIC BATTERY SIMPLE
2019-12-01 23:10:00 UTC,BATTERY,41.943016023,-87.730283946,SIMPLE
2019-12-01 23:35:00 UTC,BATTERY,41.784405684,-87.655836719,SIMPLE
