dateStart,event,latitude,longitude,description
2019-12-05 00:53:00 UTC,ASSAULT,41.767628788,-87.66267745,AGGRAVATED: OTHER DANG WEAPON
2019-12-05 03:44:00 UTC,ASSAULT,41.765342108,-87.57935434,AGGRAVATED: HANDGUN
2019-12-05 08:31:00 UTC,ASSAULT,41.834237147,-87.620609318,AGGRAVATED: HANDGUN
2019-12-05 11:15:00 UTC,ASSAULT,41.776748173,-87.699427651,AGG PRO.EMP: HANDGUN
2019-12-05 12:20:00 UTC,ASSAULT,41.854964624,-87.658792585,AGGRAVATED: HANDGUN
2019-12-05 12:52:00 UTC,ASSAULT,41.76680404,-87.605619683,AGGRAVATED: OTHER FIREARM
2019-12-05 13:00:00 UTC,ASSAULT,41.794088699,-87.631799109,AGGRAVATED: OTHER DANG WEAPON
2019-12-05 13:20:00 UTC,ASSAULT,41.771477927,-87.71583675,AGGRAVATED: HANDGUN
2019-12-05 15:45:00 UTC,ASSAULT,41.755365424,-87.565914426,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-05 16:45:00 UTC,ASSAULT,41.829651528,-87.614451899,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-05 16:53:00 UTC,ASSAULT,41.895003278,-87.62152816,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-05 17:15:00 UTC,ASSAULT,41.781311691,-87.725275189,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-05 18:16:00 UTC,ASSAULT,41.748792531,-87.606380156,AGGRAVATED: HANDGUN
2019-12-05 18:50:00 UTC,ASSAULT,41.840545388,-87.726006517,AGGRAVATED: HANDGUN
2019-12-05 19:15:00 UTC,ASSAULT,41.769916749,-87.663954978,AGGRAVATED: HANDGUN
2019-12-05 19:54:00 UTC,ASSAULT,42.022534793,-87.673434623,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-05 20:14:00 UTC,ASSAULT,41.682334926,-87.620651734,AGGRAVATED: OTHER DANG WEAPON
2019-12-05 21:31:00 UTC,ASSAULT,41.88190883,-87.704452102,AGGRAVATED: HANDGUN
2019-12-05 21:32:00 UTC,ASSAULT,41.784554979,-87.654628826,AGGRAVATED: OTHER DANG WEAPON
2019-12-05 21:46:00 UTC,ASSAULT,41.903544686,-87.667501804,AGGRAVATED: OTHER DANG WEAPON
2019-12-05 22:14:00 UTC,ASSAULT,41.772877757,-87.580164253,AGGRAVATED: HANDGUN
2019-12-05 22:30:00 UTC,ASSAULT,41.751702738,-87.663469929,AGGRAVATED: HANDGUN
2019-12-06 10:30:00 UTC,ASSAULT,41.90690686,-87.746049479,AGGRAVATED: OTHER DANG WEAPON
2019-12-06 14:45:00 UTC,ASSAULT,41.739727015,-87.604910522,AGGRAVATED: HANDGUN
2019-12-06 15:00:00 UTC,ASSAULT,41.855869895,-87.729752505,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-06 17:20:00 UTC,ASSAULT,41.883748638,-87.73919976,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-06 17:30:00 UTC,ASSAULT,41.747471737,-87.642732418,AGGRAVATED: OTHER DANG WEAPON
2019-12-06 18:00:00 UTC,ASSAULT,41.879466753,-87.748118467,AGGRAVATED: OTHER DANG WEAPON
2019-12-06 18:20:00 UTC,ASSAULT,41.895288507,-87.730310756,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-06 18:55:00 UTC,ASSAULT,41.942341068,-87.757571099,AGGRAVATED: HANDGUN
2019-12-06 19:24:00 UTC,ASSAULT,41.880991939,-87.704394994,AGG PRO.EMP:KNIFE/CUTTING INST
