location,colonizer,col,dateStart,dateEnd
Cape Verde,portugal,1,1462,1975
Ghana,portugal,1,1482,1823
Malaysia,portugal,1,1511,1641
S�o Tom� & Pr�ncipe,portugal,1,1522,1975
Brazil,portugal,1,1533,1822
Angola,portugal,1,1576,1975
Sri Lanka,portugal,1,1619,1656
Timor-Leste,portugal,1,1642,1975
Uruguay,portugal,1,1680,1822
Equatorial Guinea,portugal,1,1778,1778
Guinea-Bissau,portugal,1,1879,1974
Mozambique,portugal,1,1885,1975
